timestamp_ms,right_torso_angle,left_torso_angle,fsm_state,right_torso_angle_smooth,left_torso_angle_smooth
0,124.1492169063936,135.6135276979498,STANDING,124.5255500737226,135.6095089729702
33,126.2954733753397,136.83256388830216,STANDING,125.88765613023862,137.02454562774318
66,127.27927838545433,138.26062638758793,STANDING,126.75203102751605,138.00434862298573
100,126.85209509145317,138.73913088231183,STANDING,127.20247187819209,138.61851558025666
133,127.13756139684237,138.9376471579286,STANDING,127.32277579490395,138.93664412111465
166,126.89508657310878,138.81358625091735,STANDING,127.19673989028914,139.02833186711894
200,127.00888622188873,138.71438355491276,STANDING,126.85297373939838,138.97182754316856
233,126.49942540333659,139.0044711520397,STANDING,126.52312749540992,138.8081762227269
266,126.34175704642611,138.70660864093995,STANDING,126.2690003405249,138.69126863278228
300,126.24727826672463,138.66577665510349,STANDING,126.07552229396671,138.660035667133
333,125.51823114827324,138.39695373906625,STANDING,126.08402418819026,138.6858402691268
366,125.66639139456689,138.62773458738047,STANDING,126.2573593718976,138.83426365143836
400,125.99365562044757,138.7158721302985,STANDING,126.22508939412273,138.90784003418466
433,126.5088888420619,138.9724470383531,STANDING,125.97840376550029,138.82193785069796
466,126.14123551527817,138.74084747533672,STANDING,125.32235954898253,138.6817156309546
500,124.87393685627049,138.51949720895155,STANDING,124.38094333277128,138.1776046117153
533,121.8435475476333,136.7825015575928,STANDING,122.83203790033035,137.01369715244635
566,120.53112866781656,135.18238515607564,STANDING,120.6991911098225,135.20010012829573
600,117.71639076700514,133.9597629878944,STANDING,117.44128704182702,132.73859107709274
633,115.47507094400508,129.97439668151907,STANDING,114.23374350376406,129.84815403710977
666,111.26937657424278,126.20956681574562,STANDING,111.18835924203259,126.88386423960087
700,106.8890172259277,123.04051194152035,STANDING,108.07564160087048,123.97191638314875
733,101.81417517181444,120.02726908475438,STANDING,104.36821412571378,120.75516481075977
766,102.7391068502387,117.54808567358754,DESCENDING,100.70271695674035,117.6114592413954
800,98.50479413053469,115.11206864080958,DESCENDING,96.64766586461673,113.88813294090954
833,92.80346020557955,110.50892149803772,DESCENDING,92.64150756108725,109.52772394766546
866,87.55123956787206,104.88364522349022,DESCENDING,88.61563410565492,104.50029553979499
900,84.53392619283998,100.09408608563727,DESCENDING,84.5476503414747,99.1556907015956
933,79.39686989648735,91.36791927039624,DESCENDING,80.44320874991857,93.56099395813193
966,77.17695683617752,87.76800484730306,DESCENDING,77.30186758331118,88.20522465228251
1000,74.75081994778705,83.33252192010798,DESCENDING,74.52211095552383,83.43951717847634
1033,72.35821399144031,79.90214203580044,DESCENDING,72.03401447357308,79.24764659662642
1066,70.51888906648855,75.67927869349992,DESCENDING,69.7522565838088,75.743845406514
1100,67.45722541455095,72.91353932084863,DESCENDING,67.84498943273402,73.10227333921449
1133,64.76307851687704,69.92844957252318,DESCENDING,65.87093739269258,70.416278922342
1166,64.04150165238123,67.74760489258404,DESCENDING,63.77406521781991,67.97409562285884
1200,62.446525692401686,66.38534083960877,DESCENDING,61.62217603434961,65.55465202488251
1233,60.288898541194925,64.22081838164665,DESCENDING,59.67836964074322,63.45250489314009
1266,58.02907894360337,61.48754794974672,DESCENDING,57.993124757252374,61.680504589296575
1300,54.96972594107811,58.83849801878396,DESCENDING,56.345556647139716,59.97448609311787
1333,54.215041912764285,57.369839805419325,DESCENDING,54.591229554226736,58.21649792363938
1366,53.96486899140238,57.12376656299853,DESCENDING,53.124811608354065,56.24737423526702
1400,52.34925082846961,56.03606801716332,DESCENDING,51.915491363067616,54.279963159575104
1433,50.9650356638236,52.518859101796416,DESCENDING,50.91617963198392,52.48428916172658
1466,49.630002638160526,50.4412417604251,DESCENDING,50.09359103560526,50.78290467610534
1500,49.1799939051212,48.0574760157331,DESCENDING,49.23368079246384,49.241409091285284
1533,48.538138831689906,47.47624172756749,DESCENDING,48.58263719449066,48.00469186629678
1566,48.27916332661201,47.83884846753385,DESCENDING,48.303872344728774,47.40880685139067
1600,48.262029366994085,47.771948571293,DESCENDING,48.25948079028768,47.54451107328293
1633,48.40147168043631,48.35031002625612,DESCENDING,48.208585802697925,48.0267578566927
1666,48.5054415884385,48.71684685317654,DESCENDING,48.21101064992989,48.7015899560307
1700,48.78182462817622,49.6649492165177,DESCENDING,48.50467804311164,49.569659376128186
1733,49.16466147350703,51.04378671141464,DESCENDING,49.12275429766763,51.08845267512551
1766,49.275401466179936,52.633156576593684,DESCENDING,50.16664161731608,53.135498698845936
1800,51.39625211485551,54.38143247059803,DESCENDING,51.951148168985355,55.67830536444104
1833,53.93416331351617,58.383415079281484,DESCENDING,53.97751093586861,58.264502539661834
1866,56.51610396540253,62.337596069598554,DESCENDING,56.133710324472275,60.590190039572065
1900,59.43717763509485,63.82900670081602,DESCENDING,58.76816753015564,62.926539756686246
1933,62.57233825160275,66.01379810528906,ASCENDING,61.55919404118461,65.13138952236176
1966,62.99120189320287,66.3433506545878,ASCENDING,64.11244382843533,67.50349124129711
2000,66.27176504329057,68.93727666998683,ASCENDING,67.22654726896434,70.56677686914959
2033,71.05859995946967,73.74518275811901,ASCENDING,70.42341668311784,74.31692234531411
2066,73.33653442560596,77.74477560191835,ASCENDING,73.69032634146173,78.69805225967566
2100,76.79869202206676,84.28629733066144,ASCENDING,77.04546307112638,83.23115279816263
2133,82.470516888394,90.66638932850896,ASCENDING,80.54483827779084,88.12398126448238
2166,83.32005150366183,92.81541784284042,ASCENDING,83.76755858707287,92.61344162366187
2200,86.59140057028931,95.99095251748969,ASCENDING,87.14575731510392,97.24659871920991
2233,89.92949853119127,100.23061718850563,ASCENDING,90.70187363500145,101.77254618731868
2266,93.67112798728469,105.94572974126922,ASCENDING,93.95981260105407,105.90960914022787
2300,97.95615154116149,110.24865651042758,ASCENDING,97.2305683182573,110.2357123221871
2333,101.89818146639847,116.57984379850063,ASCENDING,100.95766767371767,114.7634562807439
2366,103.77934508874802,118.33722350785571,ASCENDING,104.31295887763292,118.85222721325205
2400,106.66782808544205,121.60664108318483,ASCENDING,107.46730431142574,122.11392532874692
2433,110.72256093504154,125.23495421003052,ASCENDING,110.24239726574257,124.60646666092971
2466,113.35463464818402,126.86379110218638,ASCENDING,112.89201186628414,126.61600182526449
2500,115.44309677121998,128.58982371725287,ASCENDING,115.58099616452894,128.16650861905094
2533,117.90763363218598,129.10471894782208,STANDING,118.23891431439665,129.89173983041113
2566,119.91337225290208,130.82877156262688,STANDING,120.52391882028175,131.23819460080657
2600,123.01877291999118,132.360850890769,STANDING,122.40440055485311,132.43902022751666
2633,124.77283877564471,134.105450389356,STANDING,124.2490749825306,133.87467112587547
2666,125.69288193897886,135.5692603044366,STANDING,125.95627324841757,135.29461556866855
2700,126.83281185871977,136.38463246423763,STANDING,127.20728607230897,136.68775947089162
2733,127.67483148964448,137.65134522474332,STANDING,127.96172494626296,137.86642406148516
2766,128.96258983199934,139.2169225392558,STANDING,128.21430175599843,138.8867734026426
2800,128.99188868992138,139.65101250349807,STANDING,128.31588921485212,139.67558423371287
2833,127.80125487278636,140.2183624870009,STANDING,128.20811370707054,140.24283566771734
2866,127.22369379294732,140.8092885139703,STANDING,127.79913044911316,140.5712374288307
2900,127.11399544136547,140.72073587816396,STANDING,127.22146264839984,140.59903554534114
2933,126.94792100889939,140.44406137271898,STANDING,126.574513156159,140.44688662262095
2966,126.23687143732958,140.09505652413102,STANDING,126.12124000442255,140.25709222582174
3000,125.56968682125388,139.82342212182633,STANDING,125.81081878564649,139.97962969931146
3033,125.32792817347062,139.71009436398782,STANDING,125.49210989253899,139.74086352984116
3066,125.20040354958337,139.60656650022545,STANDING,125.23434733441736,139.58148741265256
3100,125.13545433969773,139.39866104984185,STANDING,125.09639411574605,139.48346295193437
3133,124.95622378689725,139.38271523196815,STANDING,125.00401772130743,139.39176192012195
3166,125.00800841824991,139.42416318574746,STANDING,124.93707164441204,139.28938157023862
3200,125.00766562529157,139.08614935078313,STANDING,124.87540937837069,139.15931915530808
3233,124.6884452772401,138.98767563327957,STANDING,124.79888441649413,138.984571928354
